PatentNo	Cited Patent No
6262773	5602654
6141056	5602654
6075886	5602654
6504577	5602654
6507364	5602654
6678003	5602654
6680752	5602654
6965705	5602654
6970206	5602654
6867814	5602654
6909469	5602654
6797586	5610098
6512858	5610873
6032242	5610873
6430671	5610873
6372301	5614270
6372670	5614270
6413879	5614270
6143670	5614270
5972437	5614270
5756371	5614270
6524972	5614270
6537623	5614270
6593077	5616233
6613697	5616233
6903029	5616233
6039857	5616233
6080683	5616233
6352939	5616233
6061008	5623263
5757300	5623263
5805093	5623263
6873195	5623263
6587063	5623263
6624489	5624867
6787436	5624867
5760451	5624867
6136677	5624867
6130144	5624867
5998273	5624867
5998248	5624867
6022771	5624867
6025242	5624867
6365446	5624867
6255203	5624867
6517758	5628942
6521496	5629221
6509230	5629221
6534388	5629221
6551946	5629221
6624476	5629221
6653679	5629221
6670242	5629221
6727146	5629221
6737337	5629221
6803330	5629221
6953728	5629221
6943116	5629221
6265261	5629221
6323094	5629221
6184110	5629221
6211045	5629221
6348373	5629221
6410938	5629221
6395610	5629221
6495432	5629221
6143598	5629221
6127227	5629221
6040249	5629221
5861651	5629221
5875589	5630298
6425157	5630298
6233884	5630298
6931804	5630298
D447045	5630298
6871456	5630298
6920724	5630298
6761001	5630298
6722088	5630298
6698053	5630298
6651395	5630298
6543077	5630298
6946868	5631575
6486697	5631575
5714892	5631575
6080378	5635258
5981057	5635258
5964942	5635258
6491987	5635258
6472017	5635258
6475573	5635258
6416816	5635258
6447891	5635258
6461731	5635258
6395333	5635258
6368664	5635258
6335086	5635258
6338901	5635258
6303226	5635258
6312808	5635258
6261693	5635258
6277480	5635258
6280834	5635258
6284377	5635258
6878404	5635258
6764579	5635258
6777030	5635258
6858080	5635258
6531182	5635258
6582513	5635258
6592993	5635258
6638570	5635258
6663753	5635258
6713178	5635258
5848479	5640778
5774997	5640778
5821344	5641859
5891970	5641859
6277512	5641859
6611096	5641859
6713312	5643032
6739930	5643032
6387717	5643032
5827100	5643032
5775968	5643032
5779514	5643032
